"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(50Hertz)","Actual Total Load [MW] - CTA|DE(50Hertz)"
"03.01.2015 19:15 - 03.01.2015 19:30","8068","8584"
"03.01.2015 19:30 - 03.01.2015 19:45","8029","8243"
"03.01.2015 19:45 - 03.01.2015 20:00","7801","8113"
"03.01.2015 20:00 - 03.01.2015 20:15","7692","7850"
"03.01.2015 20:15 - 03.01.2015 20:30","7401","7356"
"03.01.2015 20:30 - 03.01.2015 20:45","7203","7038"
"03.01.2015 20:45 - 03.01.2015 21:00","7090","6906"
"03.01.2015 21:00 - 03.01.2015 21:15","6949","6872"
"03.01.2015 21:15 - 03.01.2015 21:30","6800","6606"
"03.01.2015 21:30 - 03.01.2015 21:45","6693","6551"
"03.01.2015 21:45 - 03.01.2015 22:00","6679","6491"
"03.01.2015 22:00 - 03.01.2015 22:15","6679","6369"
"03.01.2015 22:15 - 03.01.2015 22:30","7060","6512"
"03.01.2015 22:30 - 03.01.2015 22:45","7351","6319"
"03.01.2015 22:45 - 03.01.2015 23:00","7262","6191"
"03.01.2015 23:00 - 03.01.2015 23:15","7170","6041"
"03.01.2015 23:15 - 03.01.2015 23:30","6485","6018"
"03.01.2015 23:30 - 03.01.2015 23:45","6309","6119"
"03.01.2015 23:45 - 04.01.2015 00:00","7061","6019"
"04.01.2015 00:00 - 04.01.2015 00:15","7239","6116"
"04.01.2015 00:15 - 04.01.2015 00:30","6128","6111"
"04.01.2015 00:30 - 04.01.2015 00:45","5564","6081"
"04.01.2015 00:45 - 04.01.2015 01:00","5890","5769"
"04.01.2015 01:00 - 04.01.2015 01:15","5826","5383"
"04.01.2015 01:15 - 04.01.2015 01:30","6083","5586"
"04.01.2015 01:30 - 04.01.2015 01:45","6039","5605"
"04.01.2015 01:45 - 04.01.2015 02:00","5737","5562"
"04.01.2015 02:00 - 04.01.2015 02:15","5759","5241"
"04.01.2015 02:15 - 04.01.2015 02:30","5761","5480"
"04.01.2015 02:30 - 04.01.2015 02:45","5788","5507"
"04.01.2015 02:45 - 04.01.2015 03:00","5847","5514"
"04.01.2015 03:00 - 04.01.2015 03:15","6290","5456"
"04.01.2015 03:15 - 04.01.2015 03:30","6712","5589"
"04.01.2015 03:30 - 04.01.2015 03:45","6454","5576"
"04.01.2015 03:45 - 04.01.2015 04:00","6253","5554"
"04.01.2015 04:00 - 04.01.2015 04:15","6293","5608"
"04.01.2015 04:15 - 04.01.2015 04:30","6356","5632"
"04.01.2015 04:30 - 04.01.2015 04:45","6507","5708"
"04.01.2015 04:45 - 04.01.2015 05:00","6557","5779"
"04.01.2015 05:00 - 04.01.2015 05:15","6495","5788"
"04.01.2015 05:15 - 04.01.2015 05:30","6464","5480"
"04.01.2015 05:30 - 04.01.2015 05:45","6471","5526"
"04.01.2015 05:45 - 04.01.2015 06:00","6348","5423"
"04.01.2015 06:00 - 04.01.2015 06:15","6195","5094"
"04.01.2015 06:15 - 04.01.2015 06:30","6135","4958"
"04.01.2015 06:30 - 04.01.2015 06:45","6116","5097"
"04.01.2015 06:45 - 04.01.2015 07:00","6123","5280"
"04.01.2015 07:00 - 04.01.2015 07:15","6115","5408"
