date,from,to,actual,forecast
2010-01-03 00:00:00,2010-01-03 07:00:00,2010-01-03 07:15:00,14880.0,13308.0
2010-01-03 00:00:00,2010-01-03 07:15:00,2010-01-03 07:30:00,14875.0,13294.0
2010-01-03 00:00:00,2010-01-03 07:30:00,2010-01-03 07:45:00,15067.0,13402.0
2010-01-03 00:00:00,2010-01-03 07:45:00,2010-01-03 08:00:00,15127.0,13380.0
2010-01-03 00:00:00,2010-01-03 08:00:00,2010-01-03 08:15:00,15435.0,13454.0
2010-01-03 00:00:00,2010-01-03 08:15:00,2010-01-03 08:30:00,15580.0,13573.0
2010-01-03 00:00:00,2010-01-03 08:30:00,2010-01-03 08:45:00,15928.0,13676.0
2010-01-03 00:00:00,2010-01-03 08:45:00,2010-01-03 09:00:00,16048.0,13764.0
2010-01-03 00:00:00,2010-01-03 09:00:00,2010-01-03 09:15:00,16548.0,14085.0
2010-01-03 00:00:00,2010-01-03 09:15:00,2010-01-03 09:30:00,16974.0,14411.0
2010-01-03 00:00:00,2010-01-03 09:30:00,2010-01-03 09:45:00,17333.0,14650.0
2010-01-03 00:00:00,2010-01-03 09:45:00,2010-01-03 10:00:00,17623.0,14899.0
2010-01-03 00:00:00,2010-01-03 10:00:00,2010-01-03 10:15:00,17994.0,15347.0
2010-01-03 00:00:00,2010-01-03 10:15:00,2010-01-03 10:30:00,18332.0,15847.0
2010-01-03 00:00:00,2010-01-03 10:30:00,2010-01-03 10:45:00,18597.0,16122.0
2010-01-03 00:00:00,2010-01-03 10:45:00,2010-01-03 11:00:00,18980.0,16345.0
2010-01-03 00:00:00,2010-01-03 11:00:00,2010-01-03 11:15:00,19281.0,16555.0
2010-01-03 00:00:00,2010-01-03 11:15:00,2010-01-03 11:30:00,19576.0,16876.0
2010-01-03 00:00:00,2010-01-03 11:30:00,2010-01-03 11:45:00,19814.0,17171.0
2010-01-03 00:00:00,2010-01-03 11:45:00,2010-01-03 12:00:00,20076.0,17331.0
2010-01-03 00:00:00,2010-01-03 12:00:00,2010-01-03 12:15:00,20331.0,17622.0
2010-01-03 00:00:00,2010-01-03 12:15:00,2010-01-03 12:30:00,20548.0,17900.0
2010-01-03 00:00:00,2010-01-03 12:30:00,2010-01-03 12:45:00,20589.0,18033.0
2010-01-03 00:00:00,2010-01-03 12:45:00,2010-01-03 13:00:00,20372.0,17999.0
2010-01-03 00:00:00,2010-01-03 13:00:00,2010-01-03 13:15:00,20238.0,18027.0
2010-01-03 00:00:00,2010-01-03 13:15:00,2010-01-03 13:30:00,20233.0,17989.0
2010-01-03 00:00:00,2010-01-03 13:30:00,2010-01-03 13:45:00,20176.0,18001.0
2010-01-03 00:00:00,2010-01-03 13:45:00,2010-01-03 14:00:00,20049.0,17972.0
2010-01-03 00:00:00,2010-01-03 14:00:00,2010-01-03 14:15:00,19823.0,17904.0
2010-01-03 00:00:00,2010-01-03 14:15:00,2010-01-03 14:30:00,19825.0,17810.0
2010-01-03 00:00:00,2010-01-03 14:30:00,2010-01-03 14:45:00,19832.0,17857.0
2010-01-03 00:00:00,2010-01-03 14:45:00,2010-01-03 15:00:00,19683.0,17774.0
2010-01-03 00:00:00,2010-01-03 15:00:00,2010-01-03 15:15:00,19595.0,17726.0
2010-01-03 00:00:00,2010-01-03 15:15:00,2010-01-03 15:30:00,19466.0,17744.0
2010-01-03 00:00:00,2010-01-03 15:30:00,2010-01-03 15:45:00,19385.0,17715.0
2010-01-03 00:00:00,2010-01-03 15:45:00,2010-01-03 16:00:00,19403.0,17722.0
2010-01-03 00:00:00,2010-01-03 16:00:00,2010-01-03 16:15:00,19831.0,17806.0
2010-01-03 00:00:00,2010-01-03 16:15:00,2010-01-03 16:30:00,19538.0,18037.0
2010-01-03 00:00:00,2010-01-03 16:30:00,2010-01-03 16:45:00,19799.0,18359.0
2010-01-03 00:00:00,2010-01-03 16:45:00,2010-01-03 17:00:00,20293.0,18775.0
2010-01-03 00:00:00,2010-01-03 17:00:00,2010-01-03 17:15:00,20894.0,19037.0
2010-01-03 00:00:00,2010-01-03 17:15:00,2010-01-03 17:30:00,21091.0,19212.0
2010-01-03 00:00:00,2010-01-03 17:30:00,2010-01-03 17:45:00,21247.0,19245.0
2010-01-03 00:00:00,2010-01-03 17:45:00,2010-01-03 18:00:00,21459.0,19327.0
2010-01-03 00:00:00,2010-01-03 18:00:00,2010-01-03 18:15:00,21734.0,19529.0
2010-01-03 00:00:00,2010-01-03 18:15:00,2010-01-03 18:30:00,21760.0,19610.0
2010-01-03 00:00:00,2010-01-03 18:30:00,2010-01-03 18:45:00,21602.0,19605.0
2010-01-03 00:00:00,2010-01-03 18:45:00,2010-01-03 19:00:00,21583.0,19527.0
2010-01-03 00:00:00,2010-01-03 19:00:00,2010-01-03 19:15:00,21438.0,19514.0
2010-01-03 00:00:00,2010-01-03 19:15:00,2010-01-03 19:30:00,21372.0,19332.0
2010-01-03 00:00:00,2010-01-03 19:30:00,2010-01-03 19:45:00,21281.0,19222.0
2010-01-03 00:00:00,2010-01-03 19:45:00,2010-01-03 20:00:00,21069.0,19071.0
2010-01-03 00:00:00,2010-01-03 20:00:00,2010-01-03 20:15:00,21050.0,19132.0
2010-01-03 00:00:00,2010-01-03 20:15:00,2010-01-03 20:30:00,20676.0,18857.0
2010-01-03 00:00:00,2010-01-03 20:30:00,2010-01-03 20:45:00,20506.0,18650.0
2010-01-03 00:00:00,2010-01-03 20:45:00,2010-01-03 21:00:00,20204.0,18537.0
2010-01-03 00:00:00,2010-01-03 21:00:00,2010-01-03 21:15:00,20710.0,18736.0
2010-01-03 00:00:00,2010-01-03 21:15:00,2010-01-03 21:30:00,20623.0,18810.0
2010-01-03 00:00:00,2010-01-03 21:30:00,2010-01-03 21:45:00,20603.0,18864.0
