date,from,to,actual,they
2017-01-03 00:00:00,2017-01-03 20:15:00,2017-01-03 20:30:00,25796.0,23869.0
2017-01-03 00:00:00,2017-01-03 20:30:00,2017-01-03 20:45:00,25463.0,23509.0
2017-01-03 00:00:00,2017-01-03 20:45:00,2017-01-03 21:00:00,25210.0,23244.0
2017-01-03 00:00:00,2017-01-03 21:00:00,2017-01-03 21:15:00,25011.0,23096.0
2017-01-03 00:00:00,2017-01-03 21:15:00,2017-01-03 21:30:00,24902.0,22960.0
2017-01-03 00:00:00,2017-01-03 21:30:00,2017-01-03 21:45:00,24874.0,22761.0
2017-01-03 00:00:00,2017-01-03 21:45:00,2017-01-03 22:00:00,24564.0,22518.0
2017-01-03 00:00:00,2017-01-03 22:00:00,2017-01-03 22:15:00,24129.0,22330.0
2017-01-03 00:00:00,2017-01-03 22:15:00,2017-01-03 22:30:00,23780.0,22059.0
2017-01-03 00:00:00,2017-01-03 22:30:00,2017-01-03 22:45:00,23448.0,21719.0
2017-01-03 00:00:00,2017-01-03 22:45:00,2017-01-03 23:00:00,22904.0,21261.0
