"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(Amprion)","Actual Total Load [MW] - CTA|DE(Amprion)"
"04.01.2017 14:15 - 04.01.2017 14:30","25277","26329"
"04.01.2017 14:30 - 04.01.2017 14:45","25272","26422"
"04.01.2017 14:45 - 04.01.2017 15:00","25183","26372"
"04.01.2017 15:00 - 04.01.2017 15:15","25206","26250"
"04.01.2017 15:15 - 04.01.2017 15:30","25098","26102"
"04.01.2017 15:30 - 04.01.2017 15:45","25084","25934"
"04.01.2017 15:45 - 04.01.2017 16:00","24995","25944"
"04.01.2017 16:00 - 04.01.2017 16:15","24975","26009"
"04.01.2017 16:15 - 04.01.2017 16:30","25022","25924"
"04.01.2017 16:30 - 04.01.2017 16:45","25187","26030"
"04.01.2017 16:45 - 04.01.2017 17:00","25444","26374"
"04.01.2017 17:00 - 04.01.2017 17:15","25837","26638"
"04.01.2017 17:15 - 04.01.2017 17:30","26030","26994"
"04.01.2017 17:30 - 04.01.2017 17:45","26142","27007"
"04.01.2017 17:45 - 04.01.2017 18:00","26168","27081"
"04.01.2017 18:00 - 04.01.2017 18:15","26076","26845"
"04.01.2017 18:15 - 04.01.2017 18:30","26024","26710"
"04.01.2017 18:30 - 04.01.2017 18:45","25984","26497"
"04.01.2017 18:45 - 04.01.2017 19:00","25911","26232"
"04.01.2017 19:00 - 04.01.2017 19:15","25727","26163"
"04.01.2017 19:15 - 04.01.2017 19:30","25479","26153"
"04.01.2017 19:30 - 04.01.2017 19:45","25262","25949"
"04.01.2017 19:45 - 04.01.2017 20:00","25063","25909"
"04.01.2017 20:00 - 04.01.2017 20:15","24555","25322"
"04.01.2017 20:15 - 04.01.2017 20:30","24216","24916"
"04.01.2017 20:30 - 04.01.2017 20:45","23849","24628"
"04.01.2017 20:45 - 04.01.2017 21:00","23596","24497"
"04.01.2017 21:00 - 04.01.2017 21:15","23444","24410"
"04.01.2017 21:15 - 04.01.2017 21:30","23308","24314"
"04.01.2017 21:30 - 04.01.2017 21:45","23152","24111"
"04.01.2017 21:45 - 04.01.2017 22:00","22925","24050"
"04.01.2017 22:00 - 04.01.2017 22:15","22721","23902"
"04.01.2017 22:15 - 04.01.2017 22:30","22473","23697"
"04.01.2017 22:30 - 04.01.2017 22:45","22125","23067"
"04.01.2017 22:45 - 04.01.2017 23:00","21693","22830"
"04.01.2017 23:00 - 04.01.2017 23:15","21177","22362"
"04.01.2017 23:15 - 04.01.2017 23:30","20784","21904"
"04.01.2017 23:30 - 04.01.2017 23:45","20332","21376"
"04.01.2017 23:45 - 05.01.2017 00:00","19971","21262"
"05.01.2017 00:00 - 05.01.2017 00:15","18746","20256"
"05.01.2017 00:15 - 05.01.2017 00:30","18498","19840"
"05.01.2017 00:30 - 05.01.2017 00:45","18320","19461"
"05.01.2017 00:45 - 05.01.2017 01:00","18187","19139"
"05.01.2017 01:00 - 05.01.2017 01:15","18007","18818"
"05.01.2017 01:15 - 05.01.2017 01:30","17922","18751"
"05.01.2017 01:30 - 05.01.2017 01:45","17815","18619"
"05.01.2017 01:45 - 05.01.2017 02:00","17747","18553"
"05.01.2017 02:00 - 05.01.2017 02:15","17622","18533"
"05.01.2017 02:15 - 05.01.2017 02:30","17605","18449"
"05.01.2017 02:30 - 05.01.2017 02:45","17609","18629"
"05.01.2017 02:45 - 05.01.2017 03:00","17634","18790"
"05.01.2017 03:00 - 05.01.2017 03:15","17702","18806"
"05.01.2017 03:15 - 05.01.2017 03:30","17743","18801"
"05.01.2017 03:30 - 05.01.2017 03:45","17724","18995"
"05.01.2017 03:45 - 05.01.2017 04:00","17763","19143"
"05.01.2017 04:00 - 05.01.2017 04:15","17884","19252"
"05.01.2017 04:15 - 05.01.2017 04:30","17960","19226"
"05.01.2017 04:30 - 05.01.2017 04:45","18069","19026"
"05.01.2017 04:45 - 05.01.2017 05:00","18230","19272"
"05.01.2017 05:00 - 05.01.2017 05:15","18613","19648"
"05.01.2017 05:15 - 05.01.2017 05:30","18797","19946"
"05.01.2017 05:30 - 05.01.2017 05:45","19095","20202"
