"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TransnetBW)","Actual Total Load [MW] - CTA|DE(TransnetBW)"
"04.01.2017 17:00 - 04.01.2017 17:15","8841","8772"
"04.01.2017 17:15 - 04.01.2017 17:30","9021","8856"
"04.01.2017 17:30 - 04.01.2017 17:45","9144","8847"
"04.01.2017 17:45 - 04.01.2017 18:00","9137","8754"
"04.01.2017 18:00 - 04.01.2017 18:15","9099","8812"
"04.01.2017 18:15 - 04.01.2017 18:30","9156","8609"
"04.01.2017 18:30 - 04.01.2017 18:45","9079","8512"
"04.01.2017 18:45 - 04.01.2017 19:00","8995","8502"
"04.01.2017 19:00 - 04.01.2017 19:15","8965","8447"
"04.01.2017 19:15 - 04.01.2017 19:30","8891","8442"
"04.01.2017 19:30 - 04.01.2017 19:45","8721","8356"
"04.01.2017 19:45 - 04.01.2017 20:00","8581","8356"
"04.01.2017 20:00 - 04.01.2017 20:15","8406","8164"
"04.01.2017 20:15 - 04.01.2017 20:30","8290","8066"
"04.01.2017 20:30 - 04.01.2017 20:45","8016","7971"
"04.01.2017 20:45 - 04.01.2017 21:00","7940","7862"
"04.01.2017 21:00 - 04.01.2017 21:15","7774","7739"
"04.01.2017 21:15 - 04.01.2017 21:30","7752","7747"
"04.01.2017 21:30 - 04.01.2017 21:45","7675","7674"
"04.01.2017 21:45 - 04.01.2017 22:00","7614","7580"
"04.01.2017 22:00 - 04.01.2017 22:15","7849","7664"
"04.01.2017 22:15 - 04.01.2017 22:30","7672","7611"
"04.01.2017 22:30 - 04.01.2017 22:45","7331","7433"
"04.01.2017 22:45 - 04.01.2017 23:00","7195","7295"
"04.01.2017 23:00 - 04.01.2017 23:15","7052","7202"
"04.01.2017 23:15 - 04.01.2017 23:30","6944","7210"
"04.01.2017 23:30 - 04.01.2017 23:45","6706","7037"
"04.01.2017 23:45 - 05.01.2017 00:00","6753","6932"
"05.01.2017 00:00 - 05.01.2017 00:15","6535","6707"
